experiment,time,CO2_ppm,A_zsat,I_zsat,P_zsat,A_zcc,I_zcc,P_zcc,A_deep_CO3,I_deep_CO3,P_deep_CO3,A_deep_DIC,I_deep_DIC,P_deep_DIC,A_deep_TA,I_deep_TA,P_deep_TA,H_DIC,H_TA,deep temperature,surface temperature,high-deep mixing (Atlantic),high-deep mixing (Indian),high-deep mixing (Pacific),thermohaline circulation:,thermohaline upwelling (Atlantic),thermohaline upwelling (Indian),high-lat PO4 export constant
control,3500.0,280.09431286087863,4672,3472,2937,4911,3755,3445,105.59607629844815,83.37336834138111,75.02395761181442,2208.508820229039,2287.80514264804,2342.9035821834264,2343.6616678607515,2379.761511468739,2416.115489696771,2141.008215726792,2323.6825572205344,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,3600.0,280.0957266168482,4672,3472,2937,4911,3756,3445,105.59400688553411,83.37428204670064,75.02429620054352,2208.5048643734217,2287.806160003699,2342.903583609008,2343.6543415126107,2379.764223233268,2416.1161743946645,2141.006903906823,2323.6801207391686,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,3700.0,280.09695039507113,4672,3473,2937,4911,3756,3445,105.59143739973509,83.37569996374462,75.0246475506213,2208.5001753696874,2287.808114001079,2342.903629597705,2343.6454713784588,2379.768756776569,2416.116918416458,2141.005679870827,2323.677902578377,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,3800.0,280.09806387382963,4672,3472,2937,4911,3756,3445,105.5905973824025,83.37479686591357,75.02492131879012,2208.498386148061,2287.8058864280333,2342.903544375321,2343.642359434044,2379.764892506638,2416.117380723352,2141.00450466731,2323.67580872934,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,3900.0,280.09916741138505,4672,3472,2936,4911,3756,3445,105.59056230140092,83.3741756679205,75.02321230647455,2208.4978543094026,2287.80425033737,2342.89965885259,2343.641789395783,2379.7621824034554,2416.110233471893,2141.002419370241,2323.672590125085,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,4000.0,280.1004841431514,4672,3472,2936,4911,3755,3445,105.5903440800911,83.37367727619484,75.0214570328642,2208.4968752365394,2287.802770181653,2342.895721335188,2343.640479862463,2379.759822397956,2416.1030124993263,2141.000195826944,2323.669082116589,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,4100.0,280.1017527455479,4672,3472,2936,4911,3756,3445,105.59000940383072,83.37490204793552,75.02052286627598,2208.495807287759,2287.8044530589705,2342.8933576505715,2343.638887573305,2379.763763854319,2416.098904902801,2140.9990414889,2323.6669063578893,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,4200.0,280.1029497573071,4672,3473,2936,4911,3756,3445,105.58962458962397,83.37572602478264,75.01975345752406,2208.494748905844,2287.8054187254443,2342.891339978524,2343.6372191686555,2379.766227066133,2416.09545384623,2140.997971244344,2323.6648725612827,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,4300.0,280.1040842340344,4672,3473,2936,4911,3756,3445,105.58920638765125,83.37623502368108,75.01910509326821,2208.4937009437317,2287.8058638960465,2342.8895826674216,2343.6355039531054,2379.767603482084,2416.092491150103,2140.9969104977204,2323.6628891088694,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,4400.0,280.10516445418773,4672,3473,2936,4911,3756,3445,105.58876655789736,83.37651028822421,75.01854564088536,2208.4926597033223,2287.805930720729,2342.8880213705847,2343.6337584014645,2379.768181159668,2416.08989171156,2140.995840629701,2323.6609292614007,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
