,Ocean DIC [1 mol],Ocean DIC [1.0 mol/l],Ocean C^{12$S,Ocean C^{13}$S ,Ocean $\delta^{13}$C [VPDB],Fossil_Fuel_Burning_to_Ocean DIC [1.0 mol/a],Fossil_Fuel_Burning_to_Ocean DIC [C^{12$S],Fossil_Fuel_Burning_to_Ocean DIC [C^{13}$S],Fossil_Fuel_Burning_to_Ocean DIC $\delta^{13}$C [VPDB],Carbonate_Weathering_to_Ocean DIC [1.0 mol/a],Carbonate_Weathering_to_Ocean DIC [C^{12$S],Carbonate_Weathering_to_Ocean DIC [C^{13}$S],Carbonate_Weathering_to_Ocean DIC $\delta^{13}$C [VPDB],Organic_Weathering_to_Ocean DIC [1.0 mol/a],Organic_Weathering_to_Ocean DIC [C^{12$S],Organic_Weathering_to_Ocean DIC [C^{13}$S],Organic_Weathering_to_Ocean DIC $\delta^{13}$C [VPDB],Volcanic_to_Ocean DIC [1.0 mol/a],Volcanic_to_Ocean DIC [C^{12$S],Volcanic_to_Ocean DIC [C^{13}$S],Volcanic_to_Ocean DIC $\delta^{13}$C [VPDB],Ocean_to_OM_burial DIC [1.0 mol/a],Ocean_to_OM_burial DIC [C^{12$S],Ocean_to_OM_burial DIC [C^{13}$S],Ocean_to_OM_burial DIC $\delta^{13}$C [VPDB],Ocean_to_Carbonate_burial DIC [1.0 mol/a],Ocean_to_Carbonate_burial DIC [C^{12$S],Ocean_to_Carbonate_burial DIC [C^{13}$S],Ocean_to_Carbonate_burial DIC $\delta^{13}$C [VPDB]
36,3.518245e+18,0.0026413250750750754,3.479080855546273e+18,3.916414445372835e+16,1.765362294267,1100000000000000.0,1088102905242314.2,11897094757685.633,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154461387167.4155,45538612832.58437,-24.545627262375,18100000000000.0,17898513941006.863,201486058993.1374,1.774372737625
37,3.5193616666666665e+18,0.0026421634134134136,3.480185445285694e+18,3.91762213809737e+16,1.756221317166,1116666666666666.6,1104589312897500.9,12077353769165.719,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154461803254.733,45538196745.267136,-24.554637705733,18100000000000.0,17898515733096.336,201484266903.6644,1.765362294267
38,3.520495e+18,0.002643014264264265,3.48130652143053e+18,3.918847856947068e+16,1.746950061267,1133333333333333.2,1121075720552687.4,12257612780645.803,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154462225369.9673,45537774630.033165,-24.563778682834002,18100000000000.0,17898517551148.066,201482448851.93396,1.756221317166
39,3.521645e+18,0.002643877627627628,3.4824440839807493e+18,3.920091601925124e+16,1.737548784888,1150000000000000.0,1137562128207874.0,12437871792125.889,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154462653501.3486,45537346498.651726,-24.573049938733,18100000000000.0,17898519395111.363,201480604888.63626,1.746950061267
40,3.5228116666666665e+18,0.0026447535035035038,3.48359813293632e+18,3.921353373034724e+16,1.728017749703,1166666666666666.8,1154048535863060.8,12618130803605.975,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154463087636.952,45536912363.04781,-24.582451215112002,18100000000000.0,17898521264934.867,201478735065.13226,1.737548784888
41,3.523995e+18,0.0026456418918918926,3.48476866829721e+18,3.922633170279048e+16,1.718357220723,1183333333333333.2,1170534943518247.2,12798389815086.059,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154463527764.698,45536472235.30132,-24.591982250297,18100000000000.0,17898523160566.55,201476839433.4502,1.728017749703
42,3.525195e+18,0.002646542792792793,3.4859556900633876e+18,3.9239309936612696e+16,1.708567466281,1200000000000000.0,1187021351173433.8,12978648826566.145,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154463973872.354,45536026127.64624,-24.601642779277,18100000000000.0,17898525081953.72,201474918046.28198,1.718357220723
43,3.5264116666666665e+18,0.0026474562062062065,3.4871591982348216e+18,3.925246843184556e+16,1.698648758006,1216666666666666.8,1203507758828620.5,13158907838046.23,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154464425947.5303,45535574052.46991,-24.611432533719,18100000000000.0,17898527029043.02,201472970956.97968,1.708567466281
44,3.527645e+18,0.002648382132132133,3.48837919281148e+18,3.926580718852067e+16,1.688601370815,1233333333333333.2,1219994166483806.8,13339166849526.314,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154464883977.688,45535116022.31182,-24.621351241994,18100000000000.0,17898529001780.45,201470998219.55112,1.698648758006
45,3.528895e+18,0.002649320570570571,3.489615673793331e+18,3.927932620666956e+16,1.678425582885,1250000000000000.0,1236480574138993.5,13519425861006.4,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154465347950.1367,45534652049.86328,-24.631398629185,18100000000000.0,17898531000111.344,201468999888.65778,1.688601370815
