,Ocean_DIC_[mmol],Ocean_C^{12$S,Ocean_C^{13}$S ,Ocean_$\delta^{13}$C [VPDB],Fossil_Fuel_Burning_to_Ocean_DIC_[mmol/yr],Fossil_Fuel_Burning_to_Ocean_DIC_C^{12$S,Fossil_Fuel_Burning_to_Ocean_DIC_C^{13}$S,"Fossil_Fuel_Burning_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Carbonate_Weathering_to_Ocean_DIC_[mmol/yr],Carbonate_Weathering_to_Ocean_DIC_C^{12$S,Carbonate_Weathering_to_Ocean_DIC_C^{13}$S,"Carbonate_Weathering_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Organic_Weathering_to_Ocean_DIC_[mmol/yr],Organic_Weathering_to_Ocean_DIC_C^{12$S,Organic_Weathering_to_Ocean_DIC_C^{13}$S,"Organic_Weathering_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Volcanic_to_Ocean_DIC_[mmol/yr],Volcanic_to_Ocean_DIC_C^{12$S,Volcanic_to_Ocean_DIC_C^{13}$S,"Volcanic_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Ocean_to_OM_burial_DIC_[mmol/yr],Ocean_to_OM_burial_DIC_C^{12$S,Ocean_to_OM_burial_DIC_C^{13}$S,"Ocean_to_OM_burial_DIC_$\delta^{13}$C, [VPDB]",Ocean_to_Carbonate_burial_DIC_[mmol/yr],Ocean_to_Carbonate_burial_DIC_C^{12$S,Ocean_to_Carbonate_burial_DIC_C^{13}$S,"Ocean_to_Carbonate_burial_DIC_$\delta^{13}$C, [VPDB]"
37,3.5193616666666665e+18,3.4802621248489057e+18,3.909954181776059e+16,-0.22654292276164079,1116666666666666.6,1104589312897500.9,12077353769165.719,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154553395651.9585,45446604348.04134,-26.538043101348247,18100000000000.0,17898866853395.027,201133146604.9706,0.0
38,3.520495e+18,3.481383200552877e+18,3.911179944712263e+16,-0.23516408820012102,1133333333333333.2,1121075720552687.4,12257612780645.803,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154553788176.986,45446211823.014275,-26.546542922761642,18100000000000.0,17898866853395.027,201133146604.9706,0.0
39,3.521645e+18,3.4825207626641055e+18,3.912423733589428e+16,-0.2439063578921817,1150000000000000.0,1137562128207874.0,12437871792125.889,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154554186305.8027,45445813694.1976,-26.555164088200122,18100000000000.0,17898866853395.027,201133146604.9706,0.0
40,3.5228116666666665e+18,3.4836748111825853e+18,3.913685548408114e+16,-0.2527694889390235,1166666666666666.8,1154048535863060.8,12618130803605.975,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154554590027.3394,45445409972.66087,-26.563906357892183,18100000000000.0,17898866853395.027,201133146604.9706,0.0
41,3.523995e+18,3.484845346108311e+18,3.914965389168877e+16,-0.26175323533153405,1183333333333333.2,1170534943518247.2,12798389815086.059,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154554999330.382,45445000669.61798,-26.572769488939024,18100000000000.0,17898866853395.027,201133146604.9706,0.0
42,3.525195e+18,3.486032367441277e+18,3.916263255872276e+16,-0.2708573479654168,1200000000000000.0,1187021351173433.8,12978648826566.145,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154555414203.5737,45444585796.426445,-26.581753235331533,18100000000000.0,17898866853395.027,201133146604.9706,0.0
43,3.5264116666666665e+18,3.487235875181478e+18,3.9175791485188664e+16,-0.28008157466002415,1216666666666666.8,1203507758828620.5,13158907838046.23,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154555834635.413,45444165364.58665,-26.590857347965418,18100000000000.0,17898866853395.027,201133146604.9706,0.0
44,3.527645e+18,3.488455869328908e+18,3.9189130671092024e+16,-0.28942566017425836,1233333333333333.2,1219994166483806.8,13339166849526.314,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154556260614.259,45443739385.74106,-26.600081574660024,18100000000000.0,17898866853395.027,201133146604.9706,0.0
45,3.528895e+18,3.4896923498835615e+18,3.9202650116438376e+16,-0.2988893462247873,1250000000000000.0,1236480574138993.5,13519425861006.4,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154556692128.3267,45443307871.67339,-26.609425660174413,18100000000000.0,17898866853395.027,201133146604.9706,0.0
46,3.5301616666666665e+18,3.4909453168454333e+18,3.921634982123325e+16,-0.30847237150240797,1266666666666666.8,1252966981794180.2,13699684872486.486,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154557129165.6924,45442870834.30787,-26.618889346224787,18100000000000.0,17898866853395.027,201133146604.9706,0.0
