Elevation [yr],CumSum [dimensionless],CumSum [dimensionless]
6480,0.999998785643053,0.999998785643053
6490,0.999998785643053,0.999998785643053
6500,0.99999908578184,0.99999908578184
6510,0.99999908578184,0.99999908578184
6520,0.99999908578184,0.99999908578184
6530,0.99999908578184,0.99999908578184
6540,0.99999908578184,0.99999908578184
6550,0.999999242146024,0.999999242146024
6560,0.999999242146024,0.999999242146024
6570,0.999999242146024,0.999999242146024
6580,0.999999242146024,0.999999242146024
6590,0.999999242146024,0.999999242146024
6600,0.999999242146024,0.999999242146024
6610,0.999999242146024,0.999999242146024
6620,0.999999242146024,0.999999242146024
6630,0.999999242146024,0.999999242146024
6640,0.999999242146024,0.999999242146024
6650,0.999999242146024,0.999999242146024
6660,0.999999242146024,0.999999242146024
6670,0.999999242146024,0.999999242146024
6680,0.999999385891795,0.999999385891795
6690,0.999999385891795,0.999999385891795
6700,0.999999385891795,0.999999385891795
6710,0.999999385891795,0.999999385891795
6720,0.999999385891795,0.999999385891795
6730,0.999999385891795,0.999999385891795
6740,0.999999385891795,0.999999385891795
6750,0.999999385891795,0.999999385891795
6760,0.999999385891795,0.999999385891795
6770,0.999999385891795,0.999999385891795
6780,0.999999385891795,0.999999385891795
6790,0.999999542500042,0.999999542500042
6800,0.999999542500042,0.999999542500042
6810,0.999999698864226,0.999999698864226
6820,0.999999698864226,0.999999698864226
6830,0.999999698864226,0.999999698864226
6840,0.999999698864226,0.999999698864226
6850,0.999999698864226,0.999999698864226
6860,0.999999698864226,0.999999698864226
6870,0.999999698864226,0.999999698864226
6880,0.999999698864226,0.999999698864226
6890,0.999999698864226,0.999999698864226
6900,0.999999698864226,0.999999698864226
6910,0.999999843513618,0.999999843513618
6920,0.999999843513618,0.999999843513618
6930,0.999999843513618,0.999999843513618
6940,0.999999843513618,0.999999843513618
6950,0.999999843513618,0.999999843513618
6960,0.999999843513618,0.999999843513618
6970,0.999999843513618,0.999999843513618
6980,0.999999843513618,0.999999843513618
6990,0.999999843513618,0.999999843513618
7000,0.999999843513618,0.999999843513618
7010,0.999999843513618,0.999999843513618
7020,0.999999843513618,0.999999843513618
7030,0.999999843513618,0.999999843513618
7040,0.999999843513618,0.999999843513618
7050,0.999999843513618,0.999999843513618
7060,0.999999843513618,0.999999843513618
7070,0.999999843513618,0.999999843513618
7080,0.999999843513618,0.999999843513618
7090,0.999999843513618,0.999999843513618
7100,0.999999999999999,0.999999999999999
7110,0.999999999999999,0.999999999999999
7120,0.999999999999999,0.999999999999999
7130,0.999999999999999,0.999999999999999
7140,0.999999999999999,0.999999999999999
7150,0.999999999999999,0.999999999999999
7160,0.999999999999999,0.999999999999999
7170,0.999999999999999,0.999999999999999
7180,0.999999999999999,0.999999999999999
7190,0.999999999999999,0.999999999999999
7200,0.999999999999999,0.999999999999999
7210,0.999999999999999,0.999999999999999
7220,0.999999999999999,0.999999999999999
7230,0.999999999999999,0.999999999999999
7240,0.999999999999999,0.999999999999999
7250,0.999999999999999,0.999999999999999
7260,0.999999999999999,0.999999999999999
